Date,open,high,low,close,adjclose,volume,dividends,stock_splits,capital_gains
1993-01-29,43.96875,43.96875,43.75,43.9375,24.24139404296875,1003200,0.0,0.0,0.0
1993-02-01,43.96875,44.25,43.96875,44.25,24.413820266723633,480500,0.0,0.0,0.0
1993-02-02,44.21875,44.375,44.125,44.34375,24.46555519104004,201300,0.0,0.0,0.0
1993-02-03,44.40625,44.84375,44.375,44.8125,24.724159240722656,529400,0.0,0.0,0.0
1993-02-04,44.96875,45.09375,44.46875,45.0,24.827608108520508,531500,0.0,0.0,0.0
1993-02-05,44.96875,45.0625,44.71875,44.96875,24.81036949157715,492100,0.0,0.0,0.0
1993-02-08,44.96875,45.125,44.90625,44.96875,24.81036949157715,596100,0.0,0.0,0.0
1993-02-09,44.8125,44.8125,44.5625,44.65625,24.63795280456543,122100,0.0,0.0,0.0
1993-02-10,44.65625,44.75,44.53125,44.71875,24.672435760498047,379600,0.0,0.0,0.0
1993-02-11,44.78125,45.125,44.78125,44.9375,24.793127059936523,19500,0.0,0.0,0.0
1993-02-12,44.875,44.875,44.59375,44.59375,24.603487014770508,42500,0.0,0.0,0.0
1993-02-16,44.46875,44.46875,43.40625,43.46875,23.982803344726562,374800,0.0,0.0,0.0
1993-02-17,43.46875,43.53125,43.28125,43.4375,23.96554946899414,210900,0.0,0.0,0.0
1993-02-18,43.9375,43.9375,42.8125,43.40625,23.94830894470215,378100,0.0,0.0,0.0
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.034523010253906,34900,0.0,0.0,0.0
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.12070655822754,513600,0.0,0.0,0.0
1993-02-23,43.84375,43.875,43.46875,43.6875,24.10348129272461,373700,0.0,0.0,0.0
1993-02-24,43.71875,44.25,43.71875,44.25,24.413820266723633,26300,0.0,0.0,0.0
1993-02-25,44.21875,44.375,44.125,44.34375,24.46555519104004,44500,0.0,0.0,0.0
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.500019073486328,66200,0.0,0.0,0.0
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.43105125427246,66500,0.0,0.0,0.0
1993-03-02,44.3125,44.9375,44.25,44.9375,24.793127059936523,182400,0.0,0.0,0.0
1993-03-03,45.0,45.15625,44.9375,45.125,24.896577835083008,280100,0.0,0.0,0.0
1993-03-04,45.1875,45.1875,44.875,44.875,24.75865364074707,89500,0.0,0.0,0.0
1993-03-05,44.9375,45.125,44.71875,44.75,24.68968391418457,40000,0.0,0.0,0.0
1993-03-08,44.84375,45.75,44.84375,45.75,25.241413116455078,50800,0.0,0.0,0.0
1993-03-09,45.65625,45.6875,45.5,45.59375,25.15520477294922,169300,0.0,0.0,0.0
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.206928253173828,194400,0.0,0.0,0.0
1993-03-11,45.71875,45.84375,45.5,45.5625,25.137956619262695,70900,0.0,0.0,0.0
1993-03-12,45.1875,45.21875,44.8125,45.09375,24.87933349609375,643600,0.0,0.0,0.0
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.000032424926758,310800,0.0,0.0,0.0
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.000032424926758,30800,0.0,0.0,0.0
1993-03-17,45.25,45.25,44.96875,45.03125,24.844865798950195,21800,0.0,0.0,0.0
1993-03-18,45.21875,45.5,45.21875,45.3125,25.000032424926758,59300,0.0,0.0,0.0
1993-03-19,45.28125,45.28125,45.03125,45.03125,24.96219253540039,66900,0.213,0.0,0.0
1993-03-22,44.59375,44.875,44.5625,44.78125,24.82361602783203,183400,0.0,0.0,0.0
1993-03-23,44.90625,44.9375,44.8125,44.875,24.87558937072754,55200,0.0,0.0,0.0
1993-03-24,44.8125,45.0625,44.59375,44.875,24.87558937072754,37200,0.0,0.0,0.0
1993-03-25,44.90625,45.25,44.84375,45.15625,25.031490325927734,110100,0.0,0.0,0.0
1993-03-26,45.125,45.15625,44.875,44.90625,24.892902374267578,101500,0.0,0.0,0.0
1993-03-29,44.9375,45.3125,44.9375,45.09375,24.996837615966797,87100,0.0,0.0,0.0
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.06612205505371,56000,0.0,0.0,0.0
