Date,open,high,low,close,adjclose,volume,dividends,stock_splits,capital_gains
2002-07-30,81.75,81.9000015258789,81.5199966430664,81.5199966430664,36.648311614990234,6100,0.0,0.0,0.0
2002-07-31,81.94999694824219,82.80000305175781,81.9000015258789,82.52999877929688,37.10234451293945,29400,0.0,0.0,0.0
2002-08-01,82.54000091552734,83.0199966430664,82.54000091552734,83.0,37.313636779785156,25000,0.0,0.0,0.0
2002-08-02,83.16000366210938,84.0999984741211,82.87999725341797,83.8499984741211,37.695770263671875,52800,0.0,0.0,0.0
2002-08-05,84.04000091552734,84.44000244140625,83.8499984741211,84.22000122070312,37.86210250854492,61100,0.0,0.0,0.0
2002-08-06,83.87000274658203,83.9000015258789,83.22000122070312,83.5,37.53839874267578,64900,0.0,0.0,0.0
2002-08-07,83.5999984741211,84.13999938964844,83.36000061035156,83.69999694824219,37.628353118896484,40300,0.0,0.0,0.0
2002-08-08,83.58000183105469,83.7699966430664,83.36000061035156,83.69999694824219,37.628353118896484,40900,0.0,0.0,0.0
2002-08-09,84.0,84.87999725341797,84.0,84.87999725341797,38.158836364746094,35900,0.0,0.0,0.0
2002-08-12,85.30000305175781,86.69999694824219,85.13999938964844,85.4000015258789,38.39262008666992,32100,0.0,0.0,0.0
2002-08-13,85.77999877929688,86.47000122070312,85.37000274658203,86.44999694824219,38.8646240234375,75400,0.0,0.0,0.0
2002-08-14,87.45999908447266,87.9000015258789,86.75,86.77999877929688,39.012977600097656,130000,0.0,0.0,0.0
2002-08-15,86.37999725341797,86.5,85.8499984741211,86.0199966430664,38.67132568359375,87100,0.0,0.0,0.0
2002-08-16,86.44000244140625,86.5199966430664,84.81999969482422,85.05999755859375,38.23973846435547,85000,0.0,0.0,0.0
2002-08-19,85.05000305175781,85.33999633789062,84.70999908447266,85.31999969482422,38.35664367675781,47300,0.0,0.0,0.0
2002-08-20,85.62000274658203,86.29000091552734,85.5999984741211,86.2699966430664,38.783748626708984,40800,0.0,0.0,0.0
2002-08-21,85.68000030517578,86.0999984741211,85.62999725341797,85.80999755859375,38.576900482177734,40000,0.0,0.0,0.0
2002-08-22,85.55000305175781,85.55000305175781,85.05999755859375,85.05999755859375,38.23973846435547,34400,0.0,0.0,0.0
2002-08-23,85.19999694824219,85.94999694824219,85.19999694824219,85.9000015258789,38.61741256713867,20100,0.0,0.0,0.0
2002-08-26,85.69999694824219,86.20999908447266,85.66999816894531,85.9800033569336,38.65332794189453,23900,0.0,0.0,0.0
2002-08-27,85.4000015258789,85.68000030517578,85.19999694824219,85.44000244140625,38.410579681396484,301800,0.0,0.0,0.0
2002-08-28,86.04000091552734,86.18000030517578,85.83999633789062,85.87000274658203,38.6038932800293,18100,0.0,0.0,0.0
2002-08-29,86.76000213623047,86.86000061035156,86.3499984741211,86.55999755859375,38.914100646972656,135700,0.0,0.0,0.0
2002-08-30,86.75,87.12999725341797,86.44999694824219,87.08000183105469,39.14788055419922,78100,0.0,0.0,0.0
2002-09-03,87.08000183105469,88.04000091552734,87.0,88.04000091552734,39.74972915649414,102100,0.373,0.0,0.0
