date,returns
2008-03-26,-0.0041796810059469
2008-03-27,-0.00703021118235303
2008-03-28,0.009722172419626363
2008-03-31,0.00355832081119023
2008-04-01,-0.020439608328241876
2008-04-02,0.006381228245653459
2008-04-03,0.0022219175815128
2008-04-04,0.009077564950500827
2008-04-07,-0.00522668933977688
2008-04-08,-0.003484538358299538
2008-04-09,0.010384875987291542
2008-04-10,-0.0033559665741969003
2008-04-11,0.006734669544722127
2008-04-14,-0.005852897786828071
2008-04-15,-0.01240636159764763
2008-04-16,-0.009794245700537663
2008-04-17,-0.0017194661351112028
2008-04-18,-0.0008616004365856744
2008-04-21,0.003988276695096493
2008-04-22,0.0034358586615095277
2008-04-23,-0.003316808119087189
2008-04-24,-0.00848052592676507
2008-04-25,-0.005846220234663191
2008-04-28,0.0030493428839364345
2008-04-29,0.003800090825004876
2008-04-30,0.0071389949556195376
2008-05-01,-0.003544112777584485
2008-05-02,-0.008988193545003798
2008-05-05,0.0
2008-05-06,-0.007220618853021388
2008-05-07,0.004288552925282074
2008-05-08,0.008977668893396684
2008-05-09,0.0036903966619037387
2008-05-12,-0.0015135287387891827
2008-05-13,-0.010935650878401093
2008-05-14,0.00043847795125029343
2008-05-15,0.009082103779952444
2008-05-16,-0.0041206182203759045
2008-05-19,0.0013066682871418767
2008-05-20,0.0052197695673770195
2008-05-21,0.00021636287905324458
2008-05-22,-0.011788727412281319
2008-05-23,0.00437779721804743
2008-05-27,-0.006756059131779124
2008-05-28,-0.008886359894438756
2008-05-29,-0.007195070835522399
2008-05-30,0.00657866732096446
2008-06-02,0.00022212751477734827
2008-06-03,0.010833136806387644
2008-06-04,-0.008874051198375366
2008-06-05,-0.005977469756991316
2008-06-06,0.012946297461245981
2008-06-09,4.077593862561457e-08
2008-06-10,-0.0065006190164533795
2008-06-11,-0.0023288932522353978
2008-06-12,-0.010004330534676309
2008-06-13,-0.0021324762252773466
2008-06-16,0.0002250068281499651
2008-06-17,0.0020251153180108616
2008-06-18,0.00842022217751448
2008-06-19,-0.0058997808857822465
2008-06-20,0.005823594295452539
2008-06-23,0.0021157527946997767
2008-06-24,0.006666547990936911
2008-06-25,0.0004419627036207352
2008-06-26,0.006729822299908816
2008-06-27,0.011726368148421873
2008-06-30,0.00021659798852291523
2008-07-01,-0.005955945119072492
2008-07-02,0.008837339333237937
2008-07-03,-0.002159110575268741
2008-07-07,0.00456168751439745
2008-07-08,0.0064874057381019146
2008-07-09,0.0044043785451060025
2008-07-10,-0.00010637821966175132
2008-07-11,-0.014225733731283108
2008-07-14,0.008789025822626195
2008-07-15,-0.00032246806649682824
2008-07-16,-0.018076157252278402
2008-07-17,-0.005149575099154036
2008-07-18,-0.003744942375111693
2008-07-21,0.0038696014175076954
2008-07-22,-0.004955987974783693
2008-07-23,-0.00199151851328927
2008-07-24,0.009759371980270215
2008-07-25,-0.009994522199504474
2008-07-28,0.01009631326249072
2008-07-29,-0.004063717051220994
2008-07-30,0.0009930060259428775
2008-07-31,0.00991553871350681
2008-08-01,-0.0014180940606720593
